settings_1,settings_2,snr,parameter.ID,T,fp_1,fp_2,fp_3,fp_4,fn_1,fn_2,fn_3,fn_4,mse_1,mse_2,mse_3,mse_4,compTime_1,compTime_2,compTime_3,compTime_4,converged_1,converged_2,converged_3,converged_4
10,0.01,0.659952724686285,1,500,0,0,0,1,0,0,0,0,1.55143769861956e-07,1.55143769861956e-07,1.55143769861956e-07,1.13776933805736e-06,16.478664,71.173336,16.193915,75.667098,0,0,0,0
10,0.01,0.872561418268244,1,500,0,0,0,0,0,0,0,0,1.15858156585854e-06,1.15858156585854e-06,1.15858156585854e-06,1.15858156585854e-06,20.916892,81.691601,21.277752,74.206237,0,0,0,0
10,0.01,0.95546058056093,1,500,0,0,0,0,0,0,0,0,9.46326942703919e-08,9.46326942703919e-08,9.46326942703919e-08,9.46326942703919e-08,18.963798,87.805882,20.195598,77.68016,0,0,0,0
10,0.01,0.883184382610122,1,500,0,0,0,0,0,0,0,0,2.66183065130871e-07,2.66183065130871e-07,2.66183065130871e-07,2.66183065130871e-07,18.417571,69.800154,18.132715,73.736756,0,0,0,0
10,0.01,0.698340180746352,1,500,0,0,2,0,0,0,0,0,1.49151460600483e-06,1.49151460600483e-06,3.32514655849931e-06,1.49151460600483e-06,18.669328,72.473496,19.104738,71.722343,0,0,0,0
10,0.01,0.659549643298859,1,1000,0,0,0,1,0,0,0,0,6.32753024606843e-07,6.32753024606843e-07,6.32753024606843e-07,1.01590421383422e-06,28.757468,117.359983,27.877435,112.832098,0,0,0,0
10,0.01,0.71773093023692,1,1000,0,0,0,0,0,0,0,0,3.15337218726418e-07,3.15337218726418e-07,3.15337218726418e-07,3.15337218726418e-07,27.518643,114.306137,24.929678,104.956999,0,0,0,0
10,0.01,0.851460020673585,1,1000,0,0,0,0,0,0,0,0,3.18024616538157e-06,3.18024616538157e-06,3.18024616538157e-06,3.18024616538157e-06,27.291712,106.42016,24.939955,100.839446,0,0,0,0
10,0.01,0.641972902055499,1,1000,0,0,0,0,0,0,0,0,1.33843647697573e-06,1.33843647697573e-06,1.33843647697573e-06,1.33843647697573e-06,25.387115,108.841133,24.596451,113.237974,0,0,0,0
10,0.01,0.76977926757815,1,1000,0,0,0,0,0,0,0,0,1.55201808000637e-07,1.55201808000637e-07,1.55201808000637e-07,1.55201808000637e-07,34.353173,119.450454,26.136784,111.820484,0,0,0,0
10,0.01,0.700041596305289,1,2000,0,0,0,0,0,0,0,0,1.44832898230739e-09,1.44832898230739e-09,1.44832898230739e-09,1.44832898230739e-09,43.402738,161.034122,37.615833,131.567106,0,0,0,0
10,0.01,0.766830026879114,1,2000,3,5,3,2,0,0,0,0,1.27089300937592e-06,1.46424733876359e-06,1.27089300937592e-06,1.04768506681591e-06,37.992821,166.501249,41.139683,152.399652,0,0,0,0
10,0.01,0.734237998804394,1,2000,3,1,0,0,0,0,0,0,1.02270242772812e-06,7.8621802541651e-07,2.6765024544617e-08,2.6765024544617e-08,47.298338,161.348814,43.615662,146.342129,0,0,0,0
10,0.01,0.708726692418748,1,2000,0,0,1,0,0,0,0,0,3.02526251461483e-09,3.02526251461483e-09,4.8991151537867e-08,3.02526251461483e-09,40.542869,154.455963,34.205372,146.961012,0,0,0,0
10,0.01,0.723501505992392,1,2000,2,1,2,0,0,0,0,0,1.00755734424047e-06,9.86776294765991e-07,1.00755734424047e-06,5.85708977456332e-08,44.233311,161.300616,39.2536,157.238016,0,0,0,0
10,0.02,0.755812326544803,2,500,5,2,3,1,0,0,0,0,5.80956346534699e-06,5.40833920525643e-06,5.42941837758959e-06,4.69133388059936e-06,13.447688,66.604382,15.748706,64.672203,0,0,0,0
10,0.02,0.609977034540098,2,500,1,0,1,0,0,0,0,0,1.84645685907272e-06,2.05249751443264e-06,1.84645685907272e-06,2.05249751443264e-06,14.932918,66.135251,15.333367,65.065369,0,0,0,0
10,0.02,0.501924727254213,2,500,1,1,2,1,0,0,0,0,3.17619595574476e-06,3.17619595574476e-06,4.15072645233624e-06,3.17619595574476e-06,13.755448,68.880001,14.894706,60.244007,0,0,0,0
10,0.02,0.582027420697983,2,500,1,1,1,1,0,0,0,0,6.57109155251857e-06,6.57109155251857e-06,6.57109155251857e-06,6.57109155251857e-06,16.339796,71.256116,17.879388,63.52334,0,0,0,0
10,0.02,0.61351947582905,2,500,0,0,0,1,1,1,1,1,0.000456722223113856,0.000456722223113856,0.000456722223113856,0.000458408901334503,14.229545,66.457545,16.550699,65.524215,0,0,0,0
10,0.02,0.621292804297566,2,1000,0,0,0,0,0,0,0,0,3.05077795563022e-05,3.05077795563022e-05,3.05077795563022e-05,3.05077795563022e-05,22.35979,112.563387,24.146583,99.811824,0,0,0,0
10,0.02,0.504744013221996,2,1000,1,1,1,1,0,0,0,0,7.68684704047074e-06,7.68684704047074e-06,7.68684704047074e-06,7.68684704047074e-06,16.711317,92.687081,19.155963,81.066082,0,0,0,0
10,0.02,0.697481145942936,2,1000,6,0,6,0,0,0,0,0,3.55468323654465e-06,2.91411466725108e-06,3.55468323654465e-06,2.91411466725108e-06,22.946777,94.236231,23.758553,90.638791,0,0,0,0
10,0.02,0.57838730710986,2,1000,1,1,1,0,0,0,0,0,8.65627985378209e-06,8.65627985378209e-06,8.65627985378209e-06,7.81702213978418e-06,22.854628,95.793431,20.241407,107.792866,0,0,0,0
10,0.02,0.53140169700353,2,1000,4,0,6,0,0,0,0,0,3.29772430248045e-05,3.01998027211451e-05,8.3687795653843e-05,3.01998027211451e-05,25.665234,91.544881,25.117841,95.381915,0,0,0,0
10,0.02,0.505069437872848,2,2000,0,0,0,0,0,0,0,0,8.81241342100548e-07,8.81241342100548e-07,8.81241342100548e-07,8.81241342100548e-07,36.724181,159.099107,38.147477,150.011969,0,0,0,0
10,0.02,0.522332249502682,2,2000,0,0,0,0,0,0,0,0,2.18484502808821e-06,2.18484502808821e-06,2.18484502808821e-06,2.18484502808821e-06,45.130157,169.693079,34.365745,142.913523,0,0,0,0
10,0.02,0.576186170985328,2,2000,0,1,0,0,0,0,0,0,1.4860964844463e-06,1.86504072398335e-06,1.4860964844463e-06,1.4860964844463e-06,37.375226,160.256319,40.077295,146.560875,0,0,0,0
10,0.02,0.591728582916385,2,2000,0,0,0,0,0,0,0,0,2.69261606079847e-06,2.69261606079847e-06,2.69261606079847e-06,2.69261606079847e-06,37.327618,160.010115,34.598202,156.553947,0,0,0,0
10,0.02,0.580942255216339,2,2000,0,0,0,0,0,0,0,0,5.04720240912084e-06,5.04720240912084e-06,5.04720240912084e-06,5.04720240912084e-06,48.710908,172.192485,45.250288,147.649758,0,0,0,0
10,0.05,0.507656985907739,3,500,2,2,2,2,1,1,1,1,3.36705077545079e-05,3.36705077545079e-05,3.36705077545079e-05,3.36705077545079e-05,12.383974,48.237817,10.084633,47.433976,0,0,0,0
