settings_1,settings_2,snr,parameter.ID,T,fp_1,fp_2,fp_3,fp_4,fn_1,fn_2,fn_3,fn_4,mse_1,mse_2,mse_3,mse_4,compTime_1,compTime_2,compTime_3,compTime_4,converged_1,converged_2,converged_3,converged_4
20,0.01,1.25749099656444,1,500,17,11,13,7,2,0,2,2,9.23028668890086e-05,5.67469998136598e-06,9.22894490391818e-05,9.22452227462142e-05,55.213393,221.859617,48.189206,229.093778,0,0,0,0
20,0.01,0.750626391202498,1,500,11,5,10,4,2,2,2,2,9.40641647793729e-05,9.38423928086978e-05,9.40398865457687e-05,9.37712467218258e-05,55.084566,223.867752,58.029395,233.21972,0,0,0,0
20,0.01,1.22546969005819,1,500,20,14,18,7,0,0,0,2,2.53913398313548e-05,2.23467821414822e-05,2.46062228672214e-05,9.80319107626724e-05,54.347683,242.242162,58.183373,211.920643,0,0,0,0
20,0.01,0.950670910664195,1,500,11,5,10,1,2,2,2,2,0.000118108945442582,0.000117971466729822,0.000118095305156436,0.000117397384813996,58.93375,233.896559,50.995817,228.490333,0,0,0,0
20,0.01,1.21893359826291,1,500,16,5,13,3,2,2,2,2,0.000102148392813375,9.86481930854931e-05,0.000102141013997812,9.85570275782684e-05,60.910382,243.322598,51.104041,190.691266,0,0,0,0
20,0.01,1.2655287609256,1,1000,27,18,13,6,0,0,2,2,2.42604750314992e-05,2.25425900021465e-05,9.58281027357536e-05,9.56020649830019e-05,81.711798,316.52852,72.418576,284.764482,0,0,0,0
20,0.01,0.763390793040345,1,1000,8,4,7,4,1,1,1,1,3.78923199658355e-05,3.78020075203367e-05,3.78755051664108e-05,3.78020075203367e-05,78.254465,320.733524,72.234088,281.781143,0,0,0,0
20,0.01,1.06130222833366,1,1000,28,16,18,6,0,0,1,1,9.34651465720055e-05,4.49973909193953e-05,5.91462883226585e-05,5.72776203911261e-05,76.431775,301.968792,76.612723,286.824906,0,0,0,0
20,0.01,1.02261639144278,1,1000,15,7,12,7,0,1,1,1,2.23230287675958e-06,2.75482087359503e-05,2.75778484339655e-05,2.75460782780104e-05,90.502198,310.099975,84.147054,290.803299,0,0,0,0
20,0.01,0.994018088512086,1,1000,16,11,8,1,1,0,2,2,3.14714676149964e-05,4.40067676588617e-06,9.21674353199913e-05,9.20730637628057e-05,68.476084,297.809693,72.401705,270.806132,0,0,0,0
20,0.01,0.923677673458296,1,2000,17,7,11,2,0,0,1,1,7.52623296460746e-07,2.61297954734587e-07,2.73383247463056e-05,2.72962715262045e-05,156.653861,573.378367,130.580904,482.473408,0,0,0,0
20,0.01,1.14349523479319,1,2000,13,8,11,5,0,0,0,0,1.54435455920431e-06,1.53677014497673e-06,1.54317510716179e-06,1.54191667520064e-06,141.204412,557.740986,130.050911,488.56008,0,0,0,0
20,0.01,1.12503785241456,1,2000,15,4,16,1,0,0,0,0,6.80621909669736e-06,6.71221049955197e-06,6.80659424641228e-06,6.70137679035001e-06,162.951695,542.331319,133.819949,544.197809,0,0,0,0
20,0.01,1.24920341635508,1,2000,16,9,13,7,1,0,1,1,2.73684852330585e-05,5.772783582912e-07,2.73674581374239e-05,2.73567984787449e-05,182.684004,602.073218,144.690438,524.242128,0,0,0,0
20,0.01,0.947846837259795,1,2000,18,8,8,6,0,0,0,0,2.19604956835998e-06,8.76372206272785e-07,1.44852762182344e-06,8.66747216995788e-07,160.290547,607.142493,169.399384,491.195899,0,0,0,0
20,0.02,0.563756771819004,2,500,12,9,12,5,2,2,2,2,5.44318772755279e-05,5.43379861073017e-05,5.44318772755279e-05,5.40579631793786e-05,35.581902,188.351347,40.70489,195.705244,0,0,0,0
20,0.02,0.515286775954402,2,500,12,7,10,5,2,2,2,2,6.13651186640675e-05,6.08949109103562e-05,6.1240030650723e-05,6.06214224564674e-05,47.225666,218.373284,36.581308,177.299507,0,0,0,0
